key,description,en,zh,fr,pt,pl,ua
scale_settings_info:100000000000,population bulk management info,"A hundred billion. And yet, you are empty still.",一千亿。然而，你依然空虚。,"Cent milliards. Pourtant toujours, vous restez vide.","Cem bilhões. E mesmo assim, você continua vazio.",Sto miliardów. A ty wciąż jesteś pusty w środku.,Сто мільярдів. І ви досі порожні.
scale_settings_info:1000000000000,population bulk management info,"Trillion souls, all reduced to husks.",一兆个灵魂，都被化为躯壳。,"Un trillion d’âmes, des coquilles vides.",Trilhões de almas. Todas reduzidas a cascas.,"Bilion dusz, pozostały z nich ledwo skorupy.","Трильйон душ, і усі перетворенні на порожні оболонки."
scale_settings_info:10000000000000,population bulk management info,Ten trillion wails of agony follow your command.,十兆个。痛苦哀嚎着遵循你的命令。,Dix trillions de plaintes déchirantes font suite à vos ordres.,Dez trilhões de mágoas e lamentos seguem seu comando.,Dziesięć bilionów agonalnych krzyków wtóruje twe rozkazy.,Десять трильйонів криків болю виконають ваші команди.
scale_settings_info:100000000000000,population bulk management info,A hundred trillion beings suffer.,一百兆个生灵生不如死。,Cent trillions d’êtres souffrent.,Cem trilhões de seres sofrem.,Sto bilionów istot cierpi przez ciebie.,Сто трильйонів істот страждають.
scale_settings_info:1000000000000000,population bulk management info,A quadrillion sapient beings; nothing to you.,一京个有智生命；对你而言，什么都不是。,Un quadrillion d’être doués de raison ; ce n’est rien à vos yeux.,Um quatrilhão de seres sapientes; nada para você.,"Trylion świadomych, czujących istot; bezwartościowe dla ciebie.",Квадрильйон свідомих створінь  для вас ніщо.
scale_settings_info:10000000000000000,population bulk management info,Ten quadrillion. World systems shudder at your thought.,十京。你的思想使世界颤抖。,Dix quadrillions. Les systèmes mondiaux vacillent sous le poids de vos pensées.,Dez quatrilhões. Sistemas mundiais estremecem ao seu pensamento.,Dziesięć trylionów. Systemy światów drżą na każdą twą myśl.,Десять квадрильйонів. Світові системі розламуються під вашою думкою.
scale_settings_info:100000000000000000,population bulk management info,Begone. Begone. Begone. Begone. Begone. Begone. Begone.,消失吧。消失吧。消失吧。消失吧。消失吧。消失吧。消失吧。,Fuyez. Fuyez. Fuyez. Fuyez. Fuyez. Fuyez. Fuyez.,Vá embora. Vá embora. Vá embora. Vá embora. Vá embora. Vá embora. Vá embora.,Przepadnij. Przepadnij. Przepadnij. Przepadnij. Przepadnij. Przepadnij. Przepadnij.,Зникни. Зникни. Зникни. Зникни. Зникни. Зникни. Зникни.
enemy_data_title:ambassador,hover infobox title for enemy,The Ambassador Of Darkness,黑暗大使,L’Ambassadeur des Ténèbres,O Embaixador Da Escuridão,Ambasador Mroku,Вісник Темряви
enemy_data_title:rabbit,hover infobox title for enemy,A Child Of Darkness,黑暗之子,Un Enfant des Ténèbres,A Criança Da Escuridão,Dziecko Mroku,Дитина Темряви
enemy_data_title:bird,hover infobox title for enemy,The Messenger Of Darkness,黑暗信使,Le Messager des Ténèbres,O Mensageiro Da Escuridão,Kurier Mroku,Посланець Темряви
enemy_data_title:wolf,hover infobox title for enemy,Soldier Of The Dark Forest,黑暗森林士兵,Soldat de la Forêt des Ténèbres,Soldado Da Floresta Negra,Żołnierz Mrocznego Lasu,Військовий Темного Лісу
enemy_data_title:void,hover infobox title for enemy,Lost Souls Of The Dark Forest,黑暗森林迷失之魂,Les Âmes perdues de la Forêt des Ténèbres,Almas Perdidas Da Floresta Negra,Zgubione Dusze Mrocznego Lasu,Загублені душі Темного Лісу
enemy_data_title:spider,hover infobox title for enemy,Warden Of The Dark Forest,黑暗森林守卫,Protectrice de la Forêt des Ténèbres,Viigilante Da Floresta Negra,Stróż Mrocznego Lasu,Наглядачка Темного Лісу
enemy_data_title:dragon,hover infobox title for enemy,High Guardian Of Darkness,黑暗高级守护者,Haut Gardien des Ténèbres,Alto Guardião Da Escuridão,Najwyższy Obrońca Mroku,Вищий охоронець Темного Лісу
enemy_data_title:dino,hover infobox title for enemy,Ambassador Of Darkness,黑暗使者,Ambassadeur des Ténèbres,Embaixador Da Escuridão,Ambasador Mroku,Вісник Темряви
enemy_data_title:skeleton,hover infobox title for enemy,Acolyte Of Darkness,黑暗侍僧,Acolyte des Ténèbres,Iniciado Da Escuridão,Akolita Mroku,Прислужник Темряви
enemy_data_title:slime,hover infobox title for enemy,"Slime, Prince Of Darkness",黑暗王子 史莱姆,"Slime, Prince des Ténèbres","Slime, Príncipe Da Escuridão","Szlam, Książe Mroku",Слиз. Принц Темряви
enemy_data_title:angel,hover infobox title for enemy,"The Angel Of Death, Vessel Of Darkness",死亡天使 黑暗之器,"L’Ange de la Mort, Émissaire des Ténèbres","O Anjo Da Morte, Receptáculo Da Escuridão","Anioł Śmierci, Amfora Mroku",Янгол Смерті. Вмістилище Темряви.
enemy_data_info:ambassador,hover infobox description for enemy,This ancient colossal beast blocks the way. It refuses to budge before you.,这头古老的巨兽挡住了去路，且拒绝让路。,Cette bête ancienne et colossale bloque le passage. Elle refuse de bouger.,Esta antiga besta colossal bloqueia seu caminho. Ela se recusa a se mover diante de você.,Pradawna i kolosalna bestia stoi ci na drodze. Ani nie drgnie.,Цей древній велетенський звір перекриває шлях. Перед вами він відмовляється зрушити з місця.
enemy_data_info:rabbit,hover infobox description for enemy,"Innocent at a glance, it wishes not to be perceived.",乍一看满脸天真无辜，它不希望被发现。,"Innocent à première vue, il préfèrerait ne pas être aperçu.","Inocente á primeira vista, ela prefere não ser percebida.","Nieoczywiście niewinne, pragnie jedynie nie być postrzeganym.","Невинний на перший погляд, він бажає, щоб його не усвідомлювали."
enemy_data_info:bird,hover infobox description for enemy,"The shadow-touched bird admonishes you: ""Stop your crusade at once, human,"" it cries out.",被暗影触及的鸟大声警告你：“立即停止你的征途，人类。”,"L’oiseau marqué par les ombres vous interpelle : « Mettez fin à cette croisade sur-le-champ, humain, s’écrie-t-il. »","O pássaro marcado pelas sombras o avisa: “Pare sua cruzada imediatamente, humano”. Ele grita.","Tknięty mocą mroku ptak ostrzega cię: ""Przerwij swą krucjatę natychmiast, człowieku!"" wykrakuje.","Птах, якого торкнулася тінь, застерігає тебе: «Негайно припини свій хрестовий похід, людино», — кричить він."
enemy_data_info:wolf,hover infobox description for enemy,"Advanced in age and without family, this silver-haired beast fights to protect the secrets of oak and moon.",年老且无依无靠的银发野兽，它会战斗保护橡树和月亮的秘密。,"D’un âge avancé et sans famille aucune, cette bête au pelage d’argent se bat pour protéger les secrets du chêne et de la lune.","Avançado em idade e sem família, essa besta de pelos prateados luta para protejer os segredos do carvalho e da lua.","Bez rodziny i w starszym wieku, ta srebrnowłosa bestia walczy by chronić tajemnic dębu i księżyca.","Старий за віком і без сім'ї, цей срібноволосий звір б'ється, аби захистити таємниці дуба і місяця."
enemy_data_info:void,hover infobox description for enemy,The trespassers turned ontologically unstable... aimlessly drifting through desolated reality.,这些侵入者本体极不稳定...在荒废的现实中漫无目的地漂流。,"En proie à une instabilité ontologique, ces intrus errent sans but au sein d’une réalité dénuée de sens.",Os invasores se tornaram ontologicamente instáveis... vagando sem rumo através da realidade desolada.,Intruzi stali się ontologicznie niestabilni... dryfują nieświadomie przez opustoszałą rzeczywistość.,Порушники виявилися онтологічно нестійкими... Безцільно дрейхвуючими через спустошену реяльність.
enemy_data_info:spider,hover infobox description for enemy,"The architect of boundaries, her webs help keep light intrusions at bay.",界限的建筑师，她的网帮助挡住光的侵扰。,"L’architecte des frontières, ses toiles permettent d’éviter quelques intrusions de faible ampleur.","A arquiteta dos limites, suas teias ajudam a afastar interferências leves.","Architekt wszelkich granic, jej pajęczyny wstrzymują inwazje świetlne.","Архітекторка кордонів, її павутиння допомагає тримати вторгнення світла на відстані."
enemy_data_info:dragon,hover infobox description for enemy,"Of shimmering scales and fiery eyes, the Dragon stands proud before the castle gates.",鳞片闪闪发光，双眼炽热如火，龙傲然站在城堡大门前。,"Paré d’écailles scintillantes et d’un regard ardent, le Dragon se tient fièrement devant les portes du château.","Com escamas cintilantes e olhos flamejantes, o Dragão se ergue orgulhoso diante dos portões do castelo.","O lśniących łuskach i wściekłych oczach, smok stoi dumnie przed bramami zamczyska.","З мерехтливою лускою та вогненними очима, Дракон гордо стоїть перед воротами замку."
enemy_data_info:dino,hover infobox description for enemy,"The primordial behemoth offers an alliance, provided you step no further; it knows it does so in vain.",这头上古巨兽提议结盟，要你不再前进；但它知道这全然徒劳。,"Ce colosse primordial vous propose une alliance, à condition que vous ne fassiez pas un pas de plus ; il sait au fond de lui que sa demande est futile.","O beemote primordial oferece uma aliança, desde que você não avance adiante. Ele sabe que faz isso em vão.","Przedwieczny behemot oferuje sojusz, o ile tylko powstrzymasz swą kampanię. Dobrze wie, że czyni to na marne.","Прадавній Колос пропонує союз, за умови, що ви не зробите жодного кроку вперед; він знає, що робить це дарма."
enemy_data_info:skeleton,hover infobox description for enemy,"Reanimated relic with glowing bones, surrounded by infinitely echoing whispers.",骨骼发光的再生遗物，四周回荡着无限低语。,Une relique ramenée à la vie dont les os luminescents sont entourés d’éternels murmures.,"Relíquia reanimada com ossos brilhantes, cercado por sussurros que ecoam infinitamente.","Reanimowany relikt o tlących się kościach, otoczony przez nieskończenie powtarzające się szepty.","Ожила реліквія із сяючими кістками, оточена нескінченним відлунням шепіту."
enemy_data_info:slime,hover infobox description for enemy,"Vile ooze, rapid in movement and momentum, unwilling to talk.",恶心的污泥，移动迅速且动力十足，不愿交谈。,"Une abomination visqueuse aux mouvements rapides et fluides, peu disposée à la discussion.","Gosma maldita, rápida em movimento e impulso, relutante em falar.","Ohydna maź. Jej ataki są nieustanne i zwinne, odmawia rozmowy.","Мерзенний слиз, швидкий у русі та імпульсивний, що не бажає розмовляти."
enemy_data_info:angel,hover infobox description for enemy,"Gray flames surround the celestial being, its face covered by a silver mask... It remains silent.",灰色的火焰包围着这天界生物，脸被银色面具遮盖...它一言不发。,"Des flammes grises entourent cet être céleste, dont le visage est caché par un masque d’argent... Il ne rompt pas le silence.","Chamas cinzentas cercam o ser celestial, seu rosto é coberto por uma máscara prateada... Permanece em silêncio.","Szare płomienie otaczają niebiańską istotę, jej twarz schowana za srebrną maską... Nic nie mówi.","Сіре полум'я оточує небесну істоту, її обличчя сховане срібною маскою... Воно зберігає мовчання."
enemy_data_option_title:rabbit-2,hover infobox title for enemy (spared variation),Spirit of Child,孩子之灵,Esprit de l’Enfant,Espírito da Criança,Duch Dziecka,Дух дитини
enemy_data_option_title:bird-2,hover infobox title for enemy (spared variation),Spirit of Messenger,信使之灵,Esprit du Messager,Espírito do Mensageiro,Duch Kuriera,Дух Посланця
enemy_data_option_title:wolf-2,hover infobox title for enemy (spared variation),Spirit of Beast,野兽之灵,Esprit de la Bête,Espírito da Besta,Duch Bestii,Дух Звіра
enemy_data_option_title:void-2,hover infobox title for enemy (spared variation),Spirit of Void,虚空之灵,Esprit du Néant,Espírito do Vazio,Duch Otchłani,Дух Порожнечі
enemy_data_option_title:spider-2,hover infobox title for enemy (spared variation),Spirit of Warden,守卫之灵,Esprit de la Protectrice,Espírito do Vigilante,Duch Stróża,Дух Наглядачки
enemy_data_option_title:dragon-2,hover infobox title for enemy (spared variation),Spirit of Guardian,守护者之灵,Esprit du Gardien,Espírito do Guardião,Duch Obrońcy,Дух Охоронця
enemy_data_option_title:dino-2,hover infobox title for enemy (spared variation),Spirit of Ambassador,使者之灵,Esprit de l’Ambassadeur,Espírito do Embaixador,Duch Ambasadora,Дух Вісника
enemy_data_option_title:skeleton-2,hover infobox title for enemy (spared variation),Spirit of Acolyte,侍僧之灵,Esprit de l’Acolyte,Espírito do Iniciado,Duch Akolity,Дух Прислужника
enemy_data_option_title:slime-2,hover infobox title for enemy (spared variation),Spirit of Prince,王子之灵,Esprit du Prince,Espírito do Príncipe,Duch Księcia,Дух Принца
enemy_data_option_title:angel-2,hover infobox title for enemy (spared variation),Spirit of Death,死亡之灵,Esprit de la Mort,Espírito da Morte,Duch Śmierci,Дух Смерті
enemy_data_option_title:rabbit-1,hover infobox title for enemy (killed variation),Essence Of Child,孩子的本质,Essence de l’Enfant,Essência da Criança,Esencja Dziecka,Сутність Дитини
enemy_data_option_title:bird-1,hover infobox title for enemy (killed variation),Essence Of Messenger,使者的本质,Essence du Messager,Essência do Mensageiro,Esencja Kuriera,Сутність Посланця
enemy_data_option_title:wolf-1,hover infobox title for enemy (killed variation),Essence Of Beast,野兽的本质,Essence de la Bête,Essência da Besta,Esencja Bestii,Сутність Звіра
enemy_data_option_title:void-1,hover infobox title for enemy (killed variation),Essence Of Void,虚空的本质,Essence du Néant,Essência do Vazio,Esencja Otchłani,Сутність Порожнечі
enemy_data_option_title:spider-1,hover infobox title for enemy (killed variation),Essence of Warden,守卫的本质,Essence de la Protectrice,Essência do Vigilante,Esencja Stróża,Сутність Наглядача
enemy_data_option_title:dragon-1,hover infobox title for enemy (killed variation),Essence of Guardian,守护者的本质,Essence du Gardien,Essência do Guardião,Esencja Obrońcy,Сутність Охоронця
enemy_data_option_title:dino-1,hover infobox title for enemy (killed variation),Essence Of Ambassador,大使的本质,Essence de l’Ambassadeur,Essência do Embaixador,Esencja Ambasadora,Сутність Вісника
enemy_data_option_title:skeleton-1,hover infobox title for enemy (killed variation),Essence Of Acolyte,侍僧的本质,Essence de l’Acolyte,Essência do Iniciado,Esencja Akolity,Сутність Прислужника
enemy_data_option_title:slime-1,hover infobox title for enemy (killed variation),Essence Of Prince,王子的本质,Essence du Prince,Essência do Príncipe,Esencja Księcia,Сутність Принца
enemy_data_option_title:angel-1,hover infobox title for enemy (killed variation),Essence Of Death,死亡的本质,Essence de la Mort,Essência da Morte,Esencja Śmierci,Сутність Смерті
enemy_data_option_title:null-2,[DEPRECATED],+50% swordsman damage,+50% 剑士伤害,=+50 % de dégâts des soldats,,,
enemy_data_option_title:null-1,[DEPRECATED],+50% swordsman to click,+50% 剑士点击效果,=+50 % des soldats en dégâts de clic,,,
resource_generator_label:CREEK,[verb] button action,Dredge,疏浚,Sonder,Escavar,Wyławiaj,Покопати
resource_generator_label:FOREST,[verb] button action,Scavenge,清理,Fouiller,Vasculhar,Przeszukaj,Пошукати
resource_generator_label:WILD,[verb] button action,Hunt,狩猎,Chasser,Caçar,Poluj,Полювати
resource_generator_label:CAVE,[verb] button action,Spelunk,探洞,Parcourir la grotte,Explorar Caverna,Kop,До шахти
resource_generator_label:axe,button interaction,Craft Axe,制作斧头,Fabriquer : Hache,Criar Machado,Stwórz siekierę,Створити сокиру
resource_generator_label:brick,button interaction,Bake Clay,烧制粘土,Cuire de l’argile,Assar Argila,Wypal glinę,Спекти глину
resource_generator_label:clay,button interaction,Dig Clay,挖掘粘土,Extraire de l’argile,Cavar Argila,Wykop glinę,Копати глину
resource_generator_label:coal,[EMPTY],,,,,,
resource_generator_label:common,[EMPTY],,,,,,
resource_generator_label:compass,button interaction,Craft Compass,制作指南针,Fabriquer : Boussole,Criar Bússola,Stwórz kompas,Створити компас
resource_generator_label:beacon,button interaction // source of divine light (crafted with soul fragments aka soulstone),Craft Beacon,制作信标,Fabriquer : Balise,Criar Sinalizador,Stwórz latarnię,Створини маяк
resource_generator_label:soul,button interaction,Craft Soul,制作灵魂,Fabriquer : Âme,Criar Alma,Stwórz duszę,Створити душу
resource_generator_label:experience,[EMPTY],,,,,,
resource_generator_label:fiber,[EMPTY],,,,,,
resource_generator_label:firepit,button interaction,Craft Firepit,制作火坑,Faire un feu,Criar Fogueira,Stwórz obóz,Створити вогнище
resource_generator_label:flint,[EMPTY],,,,,,
resource_generator_label:food,[EMPTY],,,,,,
resource_generator_label:fur,[EMPTY],,,,,,
resource_generator_label:house,button interaction,Build a House,建造房屋,Bâtir une maison,Construir uma Casa,Stwórz dom,Збудувати будинок
resource_generator_label:iron,[EMPTY],,,,,,
resource_generator_label:iron_ore,[EMPTY],,,,,,
resource_generator_label:land,[verb] button action,Explore,探索,Explorer,Explorar,Odkrywaj,Досліджувати
resource_generator_label:leather,[EMPTY],,,,,,
resource_generator_label:null,[EMPTY],,,,,,
resource_generator_label:pickaxe,button interaction,Craft Pickaxe,制作镐,Fabriquer : Pioche,Criar Picareta,Stwórz kilof,Створити кайло
resource_generator_label:power,[EMPTY],,,,,,
resource_generator_label:rare,[EMPTY],,,,,,
resource_generator_label:shovel,button interaction,Craft Shovel,制作铲子,Fabriquer : Pelle,Criar Pá,Stwórz łopatę,Створити лопату
resource_generator_label:spear,button interaction,Craft Spear,制作矛,Fabriquer : Lance,Criar Lança,Stwórz oszczep,Створити списа
resource_generator_label:stone,button interaction,Mine Stone,开采石头,Extraire de la pierre,Minerar Pedra,Kop kamień,Добувати каміння
resource_generator_label:sword,button interaction,Make a Sword,制作剑,Forger une épée,Fazer uma Espada,Wykuj szablę,Зкувати меча
resource_generator_label:swordsman,button interaction,Train a Swordsman,训练剑士,Entrainer un soldat,Treinar um Espadachim,Musztruj szablistów,Натренувати мечника
resource_generator_label:torch,button interaction,Make a Torch,制作火把,Faire une torche,Fazer uma Tocha,Stwórz pochodnię,Зробити смолоскипа
resource_generator_label:wood,button interaction,Chop Wood,砍伐木头,Couper du bois,Cortar Madeira,Rąb drewno,Нарубати дерева
resource_generator_label:worker,[EMPTY],,,,,,
resource_generator_title:CREEK,button on hover infobox title,Dredge the Creek,疏浚小溪,Sonder le ruisseau,Escavar o Riacho,Bagruj strumień,Розчистити струмок
resource_generator_title:FOREST,button on hover infobox title,Scavenge the Forest,清理森林,Fouiller la forêt,Vasculhar a Floresta,Przeczesz las,Обшукати ліс
resource_generator_title:WILD,button on hover infobox title,Hunt Beasts,狩猎野兽,Chasser des bêtes sauvages,Caçar Bestas,Poluj na bestie,Полювати на звірів
resource_generator_title:CAVE,button on hover infobox title,Spelunk the Caves,探索洞穴,Parcourir la grotte,Espeletar as Cavernas,Eksploruj jaskinie,Дослідити печери
resource_generator_title:axe,button on hover infobox title,Axe,斧头,Hache,Machado,Siekiera,Сокира
resource_generator_title:brick,button on hover infobox title,Bake Clay,烧制粘土,Cuire de l’argile,Assar Argila,Wypal glinę,Спекти глину
resource_generator_title:clay,button on hover infobox title,Dig Clay,挖掘粘土,Extraire de l’argile,Cavar Argila,Wykop glinę,Копати глину
resource_generator_title:coal,button on hover infobox title,Coal,开采煤炭,Charbon,Carvão,Węgiel,Вугілля
resource_generator_title:common,[DEPRECATED],Button One,按钮一,Bouton Un,,,
resource_generator_title:compass,button on hover infobox title,Compass,指南针,Boussole,Bússola,Kompas,Компас
resource_generator_title:beacon,button on hover infobox title,Starbright Beacon,星光信标,Balise à l’éclat stellaire,Sinalizador Brilhante,Niebiańska latarnia,Яскравий зоряний маяк
resource_generator_title:soul,button on hover infobox title,A Soul,灵魂,Une âme,A Alma,Dusza,Душа
resource_generator_title:experience,button on hover infobox title,Experience,经验值,Expérience,Experiência,Doświadczenie,Досвід
resource_generator_title:fiber,button on hover infobox title,Fiber,纤维,Fibre,Fibra,Włókno,Волокно
resource_generator_title:firepit,button on hover infobox title,Firepit,火坑,Feu de camp,Fogueira,Obozowisko,Вогнище
resource_generator_title:flint,button on hover infobox title,Flint,燧石,Silex,Sílex,Krzemień,Кремінь
resource_generator_title:food,button on hover infobox title,Food,食物,Nourriture,Comida,Jedzenie,Їжа
resource_generator_title:fur,button on hover infobox title,Fur,兽皮,Fourrure,Pele,Futra,Хутро
resource_generator_title:house,button on hover infobox title,House,房屋,Maison,Casa,Dom,Будинок
resource_generator_title:iron,button on hover infobox title,Iron,铁锭,Fer,Ferro,Żelazo,Залізо
resource_generator_title:iron_ore,button on hover infobox title,Iron Ore,铁矿石,Minerai de fer,Minério de Ferro,Ruda żelaza,Залізна руда
resource_generator_title:land,button on hover infobox title,Explore the Unknown,探索未知,Explorer l’inconnu,Explorar o Desconhecido,Doświadcz nieznanego,Дослідити невідоме
resource_generator_title:leather,button on hover infobox title,Leather,皮革,Cuir,Couro,Skóra,Шкіра
resource_generator_title:null,[DEPRECATED],,空,,,,
resource_generator_title:pickaxe,button on hover infobox title,Pickaxe,镐,Pioche,Picareta,Kilof,Кайло
resource_generator_title:power,button on hover infobox title,Power,能量,Pouvoir,Poder,Potęga,Сила
resource_generator_title:rare,[DEPRECATED],Button Two,珍贵,Bouton deux,,,
resource_generator_title:shovel,button on hover infobox title,Shovel,铲子,Pelle,Pá,Łopata,Лопата
resource_generator_title:spear,button on hover infobox title,Spear,矛,Lance,Lança,Oszczep,Спис
resource_generator_title:stone,button on hover infobox title,Mine Stone,采石,Extraire de la pierre,Minar Pedra,Kop kamień,Видобувати каміння
resource_generator_title:sword,button on hover infobox title,Sword,剑,Épée,Espada,Szabla,Меч
resource_generator_title:swordsman,button on hover infobox title,Swordsman,剑士,Soldat,Espadachim,Szablista,Мечник
resource_generator_title:torch,button on hover infobox title,Torch,火把,Torche,Tocha,Pochodnia,Смолоскип
resource_generator_title:wood,button on hover infobox title,Chop Wood,伐木,Couper du bois,Cortar Madeira,Rąb drewno,Рубати дерева
resource_generator_title:worker,button on hover infobox title,Worker,工人,Ouvrier,Trabalhador,Robotnik,Робітник
resource_generator_flavor:CREEK,button on hover infobox description,The bottom of the shallow creek is ready for picking.,浅溪的底部已可以进行采集。,Le fond du ruisseau regorge de ressources.,O fundo do riacho está pronto para ser escavado.,Spód mętnej rzeczki jest twój do odkrycia.,Дно мілководного струмка готове до збирання.
resource_generator_flavor:FOREST,button on hover infobox description,Things are waiting to be found within.,森林内有待发现的事物。,Ce qu’elle renferme n’attend qu’à être exploité.,Coisas estão esperando para serem encontradas.,Czekają tu na ciebie.,"Речі чекають, на те аби бути знайденими усередині. "
resource_generator_flavor:WILD,button on hover infobox description,The deep forest howls and screeches.,深林中传来嚎叫和尖啸。,Des hurlements et des plaintes hantent les profondeurs de la forêt.,A floresta profunda uiva e grita.,Z głębi lasu odbija się echo krzyków i wycia.,Глибокий ліс виє і кричить.
resource_generator_flavor:CAVE,button on hover infobox description,"An abandoned mineshaft stretches through the hollow, dark caves.",废弃的矿井延伸进空旷、黑暗的洞穴。,Une galerie de mine abandonnée traverse les grottes sombres et vides.,Uma mina abandonada se estende pelas cavernas vazias e escuras.,Opuszczone kopalnie ciągną się przez mroczne podziemia.,"Покинута шахта тягнеться через порожні, темні печери."
resource_generator_flavor:axe,button on hover infobox description,"Sharp and loved, yet stained by blood.",锋利而珍贵，但被血迹染红。,"Affutée et chérie, bien qu’entachée de sang.","Afiada e amada, mas manchada de sangue.","Ostra i ukochana, spaczona krwią.","Гострий і цінний, але заплямований кров'ю."
resource_generator_flavor:brick,button on hover infobox description,"Brick by brick, humanity removes itself from nature.",一砖一瓦，人类逐渐与自然隔绝。,"Brique par brique, l’humanité se détache de la nature.","Tijolo por tijolo, a humanidade se afasta da natureza.",Cegła po cegle ludzkość odsuwa się od natury.,Цеглинка за цеглинкою людство віддаляє себе від природи.
resource_generator_flavor:clay,button on hover infobox description,Pierce the muddy waters for their essence.,穿透泥泞水域，以取其精华。,Remuez les eaux boueuses pour y puiser leur essence.,Perfure as águas lamacentas em busca de sua essência.,Przedrzyj się przez wodę i sięgnij po jej skarb.,Пронизуючи каламутні води до самої своєї суті.
resource_generator_flavor:coal,[EMPTY],,,,,,
resource_generator_flavor:common,button on hover infobox description,Go on an adventure for common resources.,进行冒险，采集常见资源。,Partir à l’aventure en quête de ressources.,Vá em uma aventura em busca de recursos comuns.,Przygoda i łupy czekają.,Піти на пошуки простих ресурсів.
resource_generator_flavor:compass,button on hover infobox description,Navigate the umbral mists; new madness awaits.,导航穿过暗影迷雾；新的疯狂等待着。,Naviguez les brumes ombrales ; une sombre folie se dévoile.,Navegue pelas névoas umbrais; um novo delírio aguarda.,Nawiguj przez czarną mgłę; nowe szaleństwo na ciebie czeka.,
resource_generator_flavor:beacon,button on hover infobox description,Blueprints emerge from the mist of your memory. This needs... a soulstone?,蓝图从记忆迷雾中浮现。这需要...一颗灵魂？,Des schémas émergent des tréfonds de votre mémoire. Cela requiert... une pierre d’âme ?,Projetos surgem da névoa de sua memória. Isso precisa de... uma pedra da alma?,Z głębi wspomnień wynurzają się wielkie plany. Potrzebne będą... Kamienie dusz?,
resource_generator_flavor:soul,[EMPTY],,,,,,
resource_generator_flavor:experience,[EMPTY],,,,,,
resource_generator_flavor:fiber,[EMPTY],,,,,,
resource_generator_flavor:firepit,button on hover infobox description,"Warm, bright, soothing; like a parents caress.",温暖、明亮、舒适；如父母的轻抚。,"Chaud, lumineux, apaisant ; tel l’affection d’un parent.","Quente, brilhante, calma; como o conforto de pais.","Gorące, jasne, kojące; niczym matczyne objęcie.",
resource_generator_flavor:flint,[EMPTY],,,,,,
resource_generator_flavor:food,[EMPTY],,,,,,
resource_generator_flavor:fur,[EMPTY],,,,,,
resource_generator_flavor:house,button on hover infobox description,Simple housing of squalid conditions. Safe.,简陋的房屋，条件恶劣，但安全。,"Un logement simple et insalubre, mais offrant la sécurité.",Uma moradia simples em condições de miséria. Segura.,Proste domostwo o mizernych warunkach. Bezpieczne.,
resource_generator_flavor:iron,[EMPTY],,,,,,
resource_generator_flavor:iron_ore,[EMPTY],,,,,,
resource_generator_flavor:land,button on hover infobox description,Experience your new reality.,探索你的新世界。,Découvrez votre nouvelle réalité.,Experimente sua nova realidade.,Doświadcz swej nowej rzeczywistości.,
resource_generator_flavor:leather,[EMPTY],,,,,,
resource_generator_flavor:null,[EMPTY],,,,,,
resource_generator_flavor:pickaxe,button on hover infobox description,Leads to riches and resentment alike.,通向财富，也通向怨恨。,"Mène à la richesse, aussi bien qu’à la rancœur.",Leva tanto à riqueza quanto ao ressentimento.,Prowadzi do bogactw i chciwej zazdrości.,
resource_generator_flavor:power,[EMPTY],,,,,,
resource_generator_flavor:rare,button on hover infobox description,Explore the world for rare resources.,探索世界，寻找珍贵资源。,Explorer le monde en quête de ressources rares.,Explore o mundo em busca de recursos raros.,Przeszukaj świat w poszukiwaniu za rzadkimi zasobami.,
resource_generator_flavor:shovel,button on hover infobox description,Digs up clay and corpses alike.,挖掘粘土，也挖出尸体。,Pour extraire de l’argile ou déterrer des corps.,Desenterre tanto argila como defuntos.,Odkopuje zarówno glinę jak i truchła.,
resource_generator_flavor:spear,button on hover infobox description,Go hunting into the wilderness.,进入荒野狩猎。,Partez chassez dans les étendus sauvages.,Vá caçar na selva.,Zapoluj w dziczy.,
resource_generator_flavor:stone,button on hover infobox description,Shatter monoliths of old; build a new world.,打碎古老的巨石；建造新世界。,Ébranlez les monolithes des temps passés ; construisez un monde nouveau.,Destrua os monólitos antigos; construa um novo mundo.,Zmiażdż pradawne monolity; postaw nowy świat.,
resource_generator_flavor:sword,button on hover infobox description,"Barbaric and crude, deadly nevertheless..",野蛮而粗糙，但仍然致命。,"Barbare et rudimentaire, mais létale quoi qu’il en soit.","Bárbaro e cruel, e contudo, mortal...","Barbarzyński i prosty, niemniej zabójczy...",
resource_generator_flavor:swordsman,button on hover infobox description,"No match for the black swordsman, but will fight against The Darkness for you.",不是黑剑士的对手，但会为你对抗黑暗。,"Bien qu’ils ne puissent rivaliser avec le chevalier noir, ils combattront les Ténèbres pour vous.","Não é páreo para o espadachim negro, mas lutará contra A Escuridão por você.",Nie równają się czarnemu rycerzowi. Mimo to stawią czoła ciemności wraz z tobą.,
resource_generator_flavor:torch,button on hover infobox description,Will guide the way during the night.,火炬,Éclairera votre chemin pendant la nuit.,Guiará o caminho durante a noite.,Oświeci ci drogę wśród wiecznej nocy.,
resource_generator_flavor:wood,button on hover infobox description,"Eventually, all humans shall die, and all trees shall be felled.",木头,"Le jour viendra où tous les humains périront, et tous les arbres seront abattus.","Eventualmente, todos os humanos morrerão, e todas as árvores serão derrubadas.","Wcześniej czy później wszyscy ludzie zdechną, a wszystkie drzewa padną.",
resource_generator_flavor:worker,[EMPTY],,,,,,
resource_generator_max_flavor:CREEK,[EMPTY],,,,,,
